Place,lat,lon,Map.Description,Map.DescriptionLong,MapLink
Ethiopia,9.017,38.85,Ethiopian Sustainable Farms,Sustainable farming areas,https://maxgrossmanblog.files.wordpress.com/2016/01/sustfarmethiopia.pdf
Vietnam,21.033,105.85,Vietnam Demographics,VietnamDemographics,https://maxgrossmanblog.files.wordpress.com/2016/01/maxgrossman_homework01.pdf
Potomac,38.904,-77.079,Interpolated Potomac Digtal Elevation Model,Interpolation methods test with DEM,https://maxgrossmanblog.files.wordpress.com/2016/01/interpolation_sampling_grossman_techspatan.pdf
WestPalm,26.71,-80.064,Palm Beach County Solar Suitable Lands,Multi-criteria evaluation of solar suitable lands,https://maxgrossmanblog.wordpress.com/solar-suitability-project/
IndustrialAccident,50.189,6.152,European Industrial Accident Risk Area ,Areas impacted from industrial accident,https://maxgrossmanblog.files.wordpress.com/2016/01/industrialaccidentriskarea_europe.pdf
CenterOcean,30.878,-50.57,Global Horizontal Irradiance v. Non-electrified Population ,Countries' solar potential and populations without energy access,https://maxgrossmanblog.files.wordpress.com/2016/01/solarpotential_elect_v3__.jpg
CenterOcean1,30.878,-30.57,Global Power Sector Emissions v. Solar Capacity ,Countries' greenhouse gas emissions countries and solar capacity,https://maxgrossmanblog.files.wordpress.com/2016/01/poweremissionssolarcapacitymap.png
Bhutan,27.209,90.397,Jigme Singye Wangchuck National Park Forest Loss,Forest cover loss from 1989 to 2013,
SolarStates,38.878,-97.381,US States' Solar Friendliness,Relative strenghts of US states' solar industries,
Malawi,-15.767,35.0168,Malawi Landslide Susceptibility and Exposure,Areas susceptible to landslides and distribution/location of landslide exposed people,
